course_department;course_code;professor;time;course_title;completed;total_enrolled;the_course_content;amount_learned;the_course_as_a_whole;instructors_effectiveness;grading_techniques
AA;598;patrick safarian;au14;Special Topics in Aeronautics and Astronautics;5;7;4.67;4.0;3.0;4.0;2.75
AA;598;luke richard;sp14;Special Topics in Aeronautics and Astronautics;10;26;4.0;4.1;3.93;4.3;4.67
AA;598;kuen lin;sp14;Special Topics in Aeronautics and Astronautics;9;26;3.63;3.88;3.4;3.4;3.63
AA;598;anshu narang-siddarth;sp14;Special Topics in Aeronautics and Astronautics;3;3;4.25;NULL;4.25;4.25;NULL
AAS;101;connie so;su14;Introduction to Asian American Studies;9;15;4.86;4.7;4.86;4.75;4.93
AAS;101;moon-ho jung;au13;Introduction to Asian American Studies;114;124;4.5;4.44;4.34;4.7;3.49
AAS;101;connie so;su13;Introduction to Asian American Studies;11;13;4.89;4.81;4.71;4.89;4.71
AAS;101;connie so;sp15;Introduction to Asian American Studies;22;103;4.75;4.71;4.5;4.81;4.58
AAS;206;connie so;wi14;Contemporary Issues of Asian and Pacific Islander Americans;40;64;4.67;4.53;4.63;4.59;4.21
AAS;206;connie so;su14;Contemporary Issues of Asian and Pacific Islander Americans;7;17;4.8;4.92;4.63;4.8;4.63
AAS;206;connie so;su13;Contemporary Issues of Asian and Pacific Islander Americans;17;18;4.4;4.56;4.0;4.42;4.13
AAS;206;connie so;wi15;Contemporary Issues of Asian and Pacific Islander Americans;59;81;4.58;4.55;4.3;4.4;4.21
AAS;210;connie so;sp13;Asian American and Pacific Islander American Identity: Race, Ethnicity, and Culture;8;43;4.0;3.83;4.17;3.5;3.0
AAS;210;connie so;sp14;Asian American and Pacific Islander American Identity: Race, Ethnicity, and Culture;10;30;4.79;4.79;4.79;4.79;4.7
AAS;210;connie so;sp15;Asian American and Pacific Islander American Identity: Race, Ethnicity, and Culture;25;44;4.61;4.72;4.61;4.76;4.44
AAS;250;gail nomura;sp13;Asian American Oral Histories;20;22;4.67;4.77;4.5;4.59;4.67
AAS;310;gail nomura;sp14;Asian Americans and Pacific Islanders in the Pacific Northwest;27;43;4.54;4.84;4.45;4.66;4.83
AAS;320;stephen sumida;sp14;Hawaii's Literatures;30;45;4.84;4.87;4.86;4.87;4.87
AAS;330;stephen sumida;au14;Asian American Theater;33;42;4.87;4.83;4.95;4.87;4.8
AAS;350;connie so;wi14;Critical Overseas Chinese/Chinese American Histories;8;23;4.17;4.7;4.17;4.25;4.0
AAS;350;connie so;wi15;Critical Overseas Chinese/Chinese American Histories;13;30;4.85;4.85;4.85;4.83;4.57
AAS;360;third andresen;au14;Critical Filipino-American Histories;19;20;4.82;4.82;4.82;4.77;4.77
AAS;360;third andresen;au13;Critical Filipino-American Histories;17;24;4.38;3.83;3.8;3.13;2.67
AAS;370;tetsuden kashima;au14;Japanese Americans: Race, Culture, Discrimination, Gender, and Endurance;8;12;4.5;4.25;4.5;4.7;4.5
AAS;372;tetsuden kashima;wi14;American Internment and Incarceration: Race, Discrimination, and Power;10;12;4.3;4.79;4.5;4.25;4.79
AAS;372;tetsuden kashima;sp15;American Internment and Incarceration: Race, Discrimination, and Power;16;23;3.64;3.75;3.5;3.83;4.33
AAS;380;tetsuden kashima;sp13;Asian American Community: Discrimination, Power, and Affirmation;17;25;4.0;4.0;3.75;3.86;4.0
AAS;380;tetsuden kashima;sp14;Asian American Community: Discrimination, Power, and Affirmation;15;23;4.38;4.13;4.08;4.25;4.25
AAS;380;tetsuden kashima;sp15;Asian American Community: Discrimination, Power, and Affirmation;13;18;3.75;3.33;3.4;3.38;4.08
AAS;385;gail nomura;au13;Asian Americans and Pacific Islander Americans: Race, Law, and Justice;14;17;4.5;4.72;4.5;4.63;4.5
AAS;385;gail nomura;au14;Asian Americans and Pacific Islander Americans: Race, Law, and Justice;17;20;4.65;4.56;4.42;4.65;4.56
AAS;392;gail nomura;wi14;Asian American and Pacific Islander Women;29;43;4.13;4.38;4.23;4.22;4.19
AAS;392;gail nomura;wi15;Asian American and Pacific Islander Women;27;39;4.22;4.23;4.36;4.27;4.08
AAS;395;connie so;au14;Critical Studies of Post-Vietnam War Southeast Asian Americans: Not Just Refugees;10;22;4.88;4.79;4.88;4.79;4.75
AAS;395;connie so;au13;Critical Studies of Post-Vietnam War Southeast Asian Americans: Not Just Refugees;8;21;4.83;5.0;4.83;4.93;4.93
AAS;498;tetsuden kashima;sp13;Special Topics;3;5;5.0;5.0;5.0;5.0;5.0
ACCT;506;d shores;au13;NULL;42;49;4.19;4.5;4.29;4.5;4.3
ACCT;560;frank hodge;su13;NULL;25;28;4.21;4.33;4.36;4.76;3.9
ACCTG;199;ryan anthony;sp14;Accounting for Problem Solving;19;30;4.43;4.21;4.33;4.55;4.2
ACCTG;199;peter demerjian;wi15;Accounting for Problem Solving;29;30;4.59;4.57;4.53;4.69;4.67
ACCTG;199;william wells;sp13;Accounting for Problem Solving;15;15;4.56;4.42;4.75;4.56;4.4
ACCTG;199;ryan anthony;sp15;Accounting for Problem Solving;12;20;4.0;4.5;3.83;4.1;3.5
ACCTG;199;thomas phillips;wi14;Accounting for Problem Solving;26;30;4.82;4.91;4.82;4.91;4.85
ACCTG;199;peter demerjian;au14;Accounting for Problem Solving;24;29;4.2;4.25;4.36;4.58;4.0
ACCTG;199;thomas phillips;au13;Accounting for Problem Solving;27;30;4.89;4.91;4.94;4.94;4.85
ACCTG;215;ryan anthony;sp14;Introduction to Accounting and Financial Reporting;96;153;4.03;4.16;3.88;4.02;3.48
ACCTG;215;peter demerjian;wi15;Introduction to Accounting and Financial Reporting;98;154;4.02;4.32;4.07;4.39;3.95
ACCTG;215;peter demerjian;au13;Introduction to Accounting and Financial Reporting;82;148;3.42;3.93;3.29;3.73;3.69
ACCTG;215;ryan anthony;su14;Introduction to Accounting and Financial Reporting;54;115;3.88;3.98;3.92;4.13;3.84
ACCTG;215;steve sefcik;sp13;Introduction to Accounting and Financial Reporting;93;157;3.84;4.06;3.84;4.1;3.58
ACCTG;215;elizabeth weber;sp15;Introduction to Accounting and Financial Reporting;124;153;4.3;4.56;4.3;4.55;4.36
ACCTG;215;steve sefcik;wi14;Introduction to Accounting and Financial Reporting;118;168;3.87;4.17;3.85;4.09;3.88
ACCTG;215;peter demerjian;au14;Introduction to Accounting and Financial Reporting;101;155;4.01;4.38;3.94;4.35;4.19
ACCTG;215;geoff turck;su13;Introduction to Accounting and Financial Reporting;53;60;4.19;4.24;4.14;4.57;4.02
ACCTG;215;geoff turck;su13;Introduction to Accounting and Financial Reporting;23;33;4.09;4.54;4.08;4.35;4.06
ACCTG;215;ryan anthony;sp14;Introduction to Accounting and Financial Reporting;97;157;3.67;3.87;3.63;3.83;3.39
ACCTG;215;steve sefcik;wi15;Introduction to Accounting and Financial Reporting;99;154;4.06;4.22;4.13;4.21;3.99
ACCTG;215;peter demerjian;au13;Introduction to Accounting and Financial Reporting;105;155;3.64;3.9;3.64;3.73;3.42
ACCTG;215;william wells;sp13;Introduction to Accounting and Financial Reporting;101;158;4.02;4.35;3.93;3.98;3.83
ACCTG;215;ryan anthony;sp15;Introduction to Accounting and Financial Reporting;66;147;3.33;3.71;3.41;3.6;2.68
ACCTG;215;peter demerjian;au14;Introduction to Accounting and Financial Reporting;96;155;4.08;4.41;4.1;4.5;4.09
ACCTG;215;ryan anthony;wi14;Introduction to Accounting and Financial Reporting;59;159;4.03;4.37;4.05;4.25;3.68
ACCTG;215;peter demerjian;au13;Introduction to Accounting and Financial Reporting;97;154;3.72;4.02;3.45;3.64;3.59
ACCTG;215;roland dukes;au14;Introduction to Accounting and Financial Reporting;91;151;3.64;4.0;3.61;3.82;3.65
ACCTG;215;steve sefcik;wi15;Introduction to Accounting and Financial Reporting;102;152;4.07;4.35;4.06;4.27;4.11
ACCTG;215;ryan anthony;sp15;Introduction to Accounting and Financial Reporting;99;151;3.44;3.68;3.33;3.52;2.86
ACCTG;215;ryan anthony;wi14;Introduction to Accounting and Financial Reporting;119;149;3.92;4.18;3.9;4.34;3.74
ACCTG;215;christopher allyn;wi15;Introduction to Accounting and Financial Reporting;20;38;4.1;4.42;4.0;4.21;4.5
ACCTG;225;elizabeth widdison;sp14;Fundamentals of Managerial Accounting;81;139;3.77;3.85;3.7;4.12;3.59
ACCTG;225;phillip quinn;wi15;Fundamentals of Managerial Accounting;89;149;3.46;3.79;3.45;3.7;3.25
ACCTG;225;elizabeth widdison;au13;Fundamentals of Managerial Accounting;117;144;4.07;4.24;4.13;4.43;4.07
ACCTG;225;rory ernst;su14;Fundamentals of Managerial Accounting;18;23;4.0;4.04;3.8;4.1;3.72
ACCTG;225;rory ernst;su13;Fundamentals of Managerial Accounting;21;26;4.19;4.63;4.31;4.63;3.45
ACCTG;225;elizabeth widdison;sp13;Fundamentals of Managerial Accounting;101;148;3.88;3.97;3.82;4.02;3.78
ACCTG;225;joseph paperman;sp15;Fundamentals of Managerial Accounting;80;149;3.64;3.83;3.76;3.72;3.78
ACCTG;225;wendy baesler;wi14;Fundamentals of Managerial Accounting;126;153;3.86;4.02;3.84;4.02;3.86
ACCTG;225;joseph paperman;au14;Fundamentals of Managerial Accounting;74;147;3.86;3.88;3.76;3.89;4.0
ACCTG;225;brett jacobs;wi15;Fundamentals of Managerial Accounting;14;37;3.5;4.17;3.38;4.5;4.0
ACCTG;225;elizabeth widdison;sp14;Fundamentals of Managerial Accounting;82;123;3.98;4.17;4.05;4.26;3.87
ACCTG;225;phillip quinn;wi15;Fundamentals of Managerial Accounting;84;122;3.81;4.05;3.93;4.02;3.76
ACCTG;225;elizabeth widdison;sp13;Fundamentals of Managerial Accounting;85;144;3.88;3.99;3.81;3.87;3.82
ACCTG;225;joseph paperman;sp15;Fundamentals of Managerial Accounting;37;90;4.11;4.02;4.03;3.87;4.16
ACCTG;225;wendy baesler;wi14;Fundamentals of Managerial Accounting;99;138;3.77;4.04;3.8;3.98;3.43
ACCTG;225;rory ernst;sp13;Fundamentals of Managerial Accounting;25;36;4.15;4.64;4.11;4.72;4.0
ACCTG;225;wendy baesler;sp14;Fundamentals of Managerial Accounting;91;128;4.17;4.26;4.27;4.51;4.16
ACCTG;225;wendy baesler;au13;Fundamentals of Managerial Accounting;44;71;3.89;3.83;3.97;4.21;3.7
ACCTG;225;max hewitt;sp13;Fundamentals of Managerial Accounting;71;86;4.51;4.54;4.57;4.8;4.71
ACCTG;225;wendy baesler;sp15;Fundamentals of Managerial Accounting;86;149;3.88;3.93;3.87;4.02;3.62
ACCTG;225;joseph paperman;au14;Fundamentals of Managerial Accounting;60;125;3.59;3.7;3.55;3.57;3.74
ACCTG;225;phillip quinn;wi15;Fundamentals of Managerial Accounting;38;49;4.55;4.55;4.6;4.77;4.5
ACCTG;225;elizabeth widdison;wi14;Fundamentals of Managerial Accounting;40;50;4.2;4.43;4.21;4.67;4.07
ACCTG;275;wendy baesler;su14;Accounting and Finance Essentials;11;12;4.89;4.58;4.89;4.95;4.58
ACCTG;275;wendy baesler;su13;Accounting and Finance Essentials;14;16;4.63;4.63;4.63;4.72;4.63
ACCTG;301;jane reich;sp14;Intermediate Accounting I;13;13;4.15;4.06;3.95;4.06;3.89
ACCTG;301;jane reich;wi15;Intermediate Accounting I;21;22;4.42;4.42;4.42;4.55;4.3
ACCTG;301;paul febry;au13;Intermediate Accounting I;42;52;3.95;3.93;3.93;3.8;4.03
ACCTG;301;geoff turck;su14;Intermediate Accounting I;11;11;4.0;4.0;3.63;3.25;2.63
ACCTG;301;whitney hassan;su13;Intermediate Accounting I;12;16;4.0;3.5;4.25;4.17;3.75
ACCTG;301;jane reich;sp13;Intermediate Accounting I;16;19;4.0;4.5;4.1;4.14;3.3
ACCTG;301;jane reich;sp15;Intermediate Accounting I;16;23;3.7;4.25;3.7;4.0;4.2
ACCTG;301;ryan anthony;wi14;Intermediate Accounting I;39;50;3.18;3.15;3.0;2.54;3.43
ACCTG;301;terrence blackburne;au14;Intermediate Accounting I;37;46;3.73;3.75;3.68;3.45;3.83
ACCTG;301;jane reich;wi15;Intermediate Accounting I;23;33;4.17;4.44;4.09;4.33;4.18
ACCTG;301;paul febry;au13;Intermediate Accounting I;41;59;3.38;3.61;3.24;3.26;3.71
ACCTG;301;ryan anthony;wi14;Intermediate Accounting I;27;31;3.64;3.93;3.55;3.2;4.0
ACCTG;301;terrence blackburne;au14;Intermediate Accounting I;27;55;3.78;3.95;3.46;3.79;3.9
ACCTG;301;ryan anthony;au13;Intermediate Accounting I;27;36;2.56;2.5;2.43;1.75;3.13
ACCTG;301;terrence blackburne;au14;Intermediate Accounting I;30;37;3.93;3.83;4.07;4.07;3.5
ACCTG;302;joseph paperman;sp14;Intermediate Accounting II;15;23;3.6;3.3;3.42;3.5;4.17
ACCTG;302;varonica stevens ragan;wi15;Intermediate Accounting II;35;38;3.36;3.59;3.34;3.1;3.71
ACCTG;302;joseph paperman;au13;Intermediate Accounting II;19;24;3.56;3.29;3.57;3.25;2.75
ACCTG;302;jane reich;sp15;Intermediate Accounting II;16;19;4.5;4.88;4.61;4.83;4.7
